PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0.0,3.0,"Braund, Mr. Owen Harris",male,-0.6051635489601979,0.0,0.0,A/5 21171,-0.5517628662460469,,S
2,1.0,3.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,-0.13927032783980003,1.0,0.0,PC 17599,-0.4568065693279041,C85,C
3,1.0,3.0,"Heikkinen, Miss. Laina",female,-0.294568068213266,0.0,0.0,STON/O2. 3101282,-0.5296925529289845,,
4,1.0,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,-0.13927032783980003,1.0,0.0,113803,,C123,
5,0.0,3.0,"Allen, Mr. William Henry",male,,0.0,0.0,373450,,,
6,0.0,3.0,"Moran, Mr. James 5634",male,,0.0,0.0,330877,,,Q
7,0.0,1.0,"McCarthy, Mr. Timothy J",male,1.8796002970152572,0.0,0.0,17463,0.9069213602094195,E46,
8,0.0,3.0,"Palsson, Master. Gosta Leonard",male,-2.158140952694857,3.0,1.0,349909,,,S
9,1.0,3.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,-0.216919198026533,0.0,0.0,347742,-0.4568065693279041,,S
10,1.0,2.0,"Nasser, Mrs. Nicholas (Adele Achem)",female,-1.2263545104540616,0.0,0.0,237736,0.19440336508138167,,C
11,1.0,3.0,"Sandstrom, Miss. Marguerite Rut",male,-2.002843212321391,1.0,0.0,PP 9549,-0.24277847980717532,G6,S
12,1.0,1.0,"Bonnell, Miss. Elizabeth",female,2.190195777762189,0.0,0.0,113783,0.07928461081958503,C103,S
13,0.0,3.0,"Saundercock, Mr. William Henry",male,,0.0,0.0,A/5. 2151,,,S
14,0.0,3.0,"Andersson, Mr. Anders Johan",male,0.7148672442142626,1.0,5.0,347082,0.23377680403902074,,S
15,0.0,3.0,"Vestrom, Miss. Hulda Amanda Adolfina",female,-1.2263545104540616,0.0,0.0,350406,-0.4568065693279041,,S
16,1.0,2.0,"Hewlett, Mrs. (Mary D Kingcome) ",female,-0.13927032783980003,0.0,0.0,248706,-0.26566621213598063,,S
18,1.0,2.0,"Williams, Mr. Charles Eugene",male,0.049738742778887096,0.0,0.0,244373,-0.36375649354514616,,S
19,0.0,3.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.09367628272039887,0.0,0.0,345763,-0.20027269119653687,,S
20,1.0,3.0,"Masselmani, Mrs. Fatima",female,-0.13927032783980003,0.0,0.0,2649,-0.5525802852577899,,C
21,0.0,2.0,"Fynney, Mr. Joseph J",male,0.40427176346733074,0.0,0.0,239865,0.06130139256123799,,
22,1.0,3.0,"Beesley, Mr. Lawrence",male,0.3266228932805978,0.0,0.0,248698,-0.36375649354514616,D56,S
24,1.0,1.0,"Sloper, Mr. William Thompson",male,-0.13927032783980003,0.0,0.0,113788,0.37192061702359563,A6,S
26,1.0,3.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.6372183740275297,0.0,5.0,347077,0.23745518959186449,,
27,0.0,3.0,"Emir, Mr. Farred Chehab",male,0.049738742778887096,0.0,0.0,2631,-0.5525802852577899,,C
28,0.0,1.0,"Fortune, Mr. Charles Alexander",male,-0.8381101595203968,3.0,2.0,19950,1.1823915671668261,C23 C25 C27,S
29,1.0,3.0,"O'Dwyer, Miss. Ellen ""Nellie""",female,-0.13927032783980003,0.0,0.0,330959,-0.5311900645584978,,Q
30,0.0,3.0,"Todoroff, Mr. Lalio",male,,0.0,0.0,349216,,,S
31,0.0,1.0,"Uruchurtu, Don. Manuel E",male,0.7925161144009956,0.0,0.0,PC 17601,0.11756597797753539,,
32,1.0,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",male,,1.0,0.0,PC 17569,,B78,C
33,1.0,3.0,"Glynn, Miss. Mary Agatha",female,-0.13927032783980003,0.0,0.0,335677,-0.5354144860111859,,Q
34,0.0,2.0,"Wheadon, Mr. Edward H",male,2.8113867392560525,0.0,0.0,C.A. 24579,-0.44549839471945085,,S
35,0.0,3.0,"Meyer, Mr. Edgar Joseph",male,-0.13927032783980003,1.0,0.0,PC 17604,-0.4568065693279041,,C
36,0.0,1.0,"Holverson, Mr. Alexander Oskar",male,0.9478138547744616,0.0,0.0,113789,0.9114171647740064,,S
37,0.0,3.0,"Mamee, Mr. Hanna",male,,0.0,0.0,2677,-0.5524429588638171,,C
38,0.0,3.0,"Cann, Mr. Ernest Charles",male,-0.6828124191469308,0.0,0.0,A./5. 2152,-0.5256054578702694,,S
40,1.0,3.0,"Nicola-Yarred, Miss. Jamila",female,-1.2263545104540616,1.0,0.0,2651,-0.42124720747905814,,C
41,1.0,3.0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,0.7925161144009956,0.0,0.0,7546,-0.47901257420091575,,S
42,0.0,2.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",male,-0.216919198026533,1.0,0.0,11668,-0.10218240978737131,,S
43,0.0,3.0,"Kraeff, Mr. Theodor",male,,0.0,0.0,349253,-0.5306472983347005,,C
44,1.0,2.0,"Laroche, Miss. Simonne Marie Anne Andree",female,-2.0804920825081243,0.0,2.0,SC/Paris 2123,0.5706907632711288,,
45,1.0,3.0,"Devaney, Miss. Margaret Delia",male,-0.8381101595203968,0.0,0.0,330958,,,Q
46,0.0,3.0,"Rogers, Mr. William John",male,0.049738742778887096,0.0,0.0,S.C./A.4. 23567,-0.5256054578702694,,S
47,0.0,3.0,"Lennon, Mr. Denis",male,0.049738742778887096,1.0,0.0,370371,,,
48,1.0,3.0,"O'Driscoll, Miss. Bridget",female,-0.13927032783980003,0.0,0.0,14311,,,
49,0.0,3.0,"Samaan, Mr. Youssef",male,0.049738742778887096,0.0,0.0,2662,-0.07997477007633617,,C
50,0.0,3.0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,-0.9157590297071297,1.0,0.0,349237,-0.4568065693279041,,S
51,0.0,3.0,"Panula, Master. Juha Niilo",male,,4.0,1.0,3101295,-0.4568065693279041,,S
52,0.0,3.0,"Nosworthy, Mr. Richard Cater 3033",male,-0.6828124191469308,0.0,0.0,A/4. 39886,,,S
53,1.0,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1.4913559460815924,1.0,0.0,PC 17572,1.7199818937818523,D33,C
54,1.0,2.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",male,-0.06162145765306706,0.0,0.0,2926,0.06130139256123799,,S
55,0.0,1.0,"Ostby, Mr. Engelhart Cornelius",male,2.7337378690693197,0.0,1.0,113509,,B30,C
56,1.0,3.0,"Woolner, Mr. Hugh",male,0.049738742778887096,0.0,0.0,19947,0.37192061702359563,C52,
57,1.0,2.0,"Rugg, Miss. Emily",female,-0.6828124191469308,0.0,0.0,C.A. 31026,-0.22070816649011304,,S
