PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,,3.0,"Braund, Mr. Owen Harris",male,22.0,70.0,-5.0,A/5 21171,7.25,,S
2,1.0,,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,,1.0,,PC 17599,71.2833,C85,C
3,1.0,3.0,"Heikkinen, Miss. Laina",female,26.0,0.0,,STON/O2. 3101282,7.925,,
4,Yes,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,-10.0,1.0,0.0,113803,,C123,
5,,,"Allen, Mr. William Henry",,333.0,0.0,0.0,373450,,,
6,0.0,3.0,"Moran, Mr. James 5634",unknown,,0.0,,330877,,,Q
7,No,1.0,"McCarthy, Mr. Timothy J",,54.0,50.0,500.0,17463,51.8625,E46,
8,0.0,5,"Palsson, Master. Gosta Leonard",male,2.0,3.0,1.0,349909,,,S
9,1.0,3.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0.0,,347742,1917,,S
10,,2.0,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,-5.0,70.0,237736,30.0708,,C
11,,,"Sandstrom, Miss. Marguerite Rut",,4.0,1.0,,PP 9549,16.7,G6,S
12,Yes,1.0,"Bonnell, Miss. Elizabeth",female,58.0,,,113783,26.55,C103,S
13,0.0,3.0,"Saundercock, Mr. William Henry",alien,,0.0,,A/5. 2151,,,S
14,0.0,3.0,"Andersson, Mr. Anders Johan",male,39.0,1.0,5.0,347082,31.275,,S
15,0.0,,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0.0,0.0,350406,77778990,,S
16,1.0,2.0,"Hewlett, Mrs. (Mary D Kingcome) ",female,,0.0,0.0,248706,16.0,,S
17,0.0,3.0,"Rice, Master. Eugene",alien,2.0,4.0,1.0,382652,29.125,,Q
18,1.0,2.0,"Williams, Mr. Charles Eugene",male,,0.0,,244373,13.0,,S
19,0.0,3.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,,0.0,345763,18.0,,S
